
Forward Euler Method: 
time:     V1:        V2:     
0.0000000568   0.3911136899   4.9838836754   
0.0000000570   0.3832914161   4.9842060018   
0.0000000572   0.3756255878   4.9845218817   
0.0000000574   0.3681130760   4.9848314440   
0.0000000576   0.3607508145   4.9851348151   
0.0000000578   0.3535357982   4.9854321188   
0.0000000580   0.3464650822   4.9857234764   
0.0000000582   0.3395357806   4.9860090068   
0.0000000584   0.3327450650   4.9862888267   
0.0000000586   0.3260901637   4.9865630501   
0.0000000588   0.3195683604   4.9868317891   
0.0000000590   0.3131769932   4.9870951533   
0.0000000592   0.3069134533   4.9873532502   
0.0000000594   0.3007751843   4.9876061852   
0.0000000596   0.2947596806   4.9878540615   
0.0000000598   0.2888644870   4.9880969803   
0.0000000600   0.2830871972   4.9883350407   
0.0000000602   0.2774254533   4.9885683398   
0.0000000604   0.2758769442   4.9887969730   
0.0000000606   0.2783594053   4.9890210336   
0.0000000608   0.2847922172   4.9892406129   
0.0000000610   0.2950963729   4.9894558006   
0.0000000612   0.3091944454   4.9896666846   
0.0000000614   0.3230105565   4.9898733509   
0.0000000616   0.3365503454   4.9900758839   
0.0000000618   0.3498193385   4.9902743662   
0.0000000620   0.3628229517   4.9904688788   
0.0000000622   0.3755664927   4.9906595012   
0.0000000624   0.3880551628   4.9908463112   
0.0000000626   0.4002940596   4.9910293849   
0.0000000628   0.4122881784   4.9912087971   
0.0000000630   0.4240424148   4.9913846210   
0.0000000632   0.4355615665   4.9915569284   
0.0000000634   0.4468503352   4.9917257896   
0.0000000636   0.4579133285   4.9918912734   
0.0000000638   0.4687550619   4.9920534475   
0.0000000640   0.4793799607   4.9922123780   
0.0000000642   0.4897923615   4.9923681296   
0.0000000644   0.4999965142   4.9925207659   
0.0000000646   0.5099965839   4.9926703492   
0.0000000648   0.5197966523   4.9928169403   
0.0000000650   0.5294007192   4.9929605991   
0.0000000652   0.5388127048   4.9931013840   
0.0000000654   0.5480364507   4.9932393522   
0.0000000656   0.5570757217   4.9933745600   
0.0000000658   0.5659342073   4.9935070622   
0.0000000660   0.5746155231   4.9936369126   
0.0000000662   0.5831232127   4.9937641637   
0.0000000664   0.5914607484   4.9938888672   
0.0000000666   0.5996315335   4.9940110732   
0.0000000668   0.6076389028   4.9941308310   
0.0000000670   0.6154861247   4.9942481886   
0.0000000672   0.6231764022   4.9943631931   
0.0000000674   0.6307128742   4.9944758903   
0.0000000676   0.6380986167   4.9945863247   
0.0000000678   0.6453366444   4.9946945400   
0.0000000680   0.6524299115   4.9948005785   
